OrchardID,NrKlant,NmKlant,NrKlantGenby,MonstGenBij,Adres2,Adres3,Adres4,NrOrder,NrOndz,Subcategorie,Sample description,Material,OmTypeMonster,DtMonster,DtVerslag,BemDiepteLg,BemDiepteHg,NrMonsterRm,TVocht,Moisture,TDroge stof,Droge stof,Tleeg3,leeg3,TN-Tot,Total nitrogen stock (mg N/kg),TCN,C/N ratio,TN-Levering,N-supplying capacity (kg N/ha),TC-totaal,C-totaal,TP-totaal,Total P-stock (mg P2O5/100g),TP-PAE,P-PAE,TAdviesPw,AdviesPw,TP-AL,P-AL,TK,K,TK-vrd,K-soil stock (mmol+/kg),TK-getal,K-getal,TS-totaal,Total sulphur stock (mg S/kg),TSLV,S-supplying capacity (kg S/ha),TSaanv,Saanv,TMg,Mg,TK/Mg,K/Mg,TNa,Na,TB,B,TCu-PAE,Cu-PAE,TMn,Mn,TCo-PAE,Co-PAE,TZn-PAE,Zn-PAE,TpH_NIR,pH_NIR,TpH,pH,TKZK,Carbonate lime (%),TOS,Organic matter (%),TLutum,Clay % (<2 μm),TCEC,Clay-humus (CEC)CEC (mmol+/kg),TCEC-Bez.,CEC-saturation (%),TS-PAE,S-PAE,TMicr.activiteit,Microbial activity (mg N/kg),TC/S,C/S ratio,TEc,Ec,TCl,Cl,TAl-ox,Al-ox,TFe-ox,Fe-ox,TP-ox,P-ox,TCadmium,Cadmium,TChroom,Chroom,TKoper,Koper,TKwik,Kwik,TNikkel,Nikkel,TLood,Lood,TZink,Zink,TArseen,Arseen,TN-NO3(dr),N-NO3(dr),TN-NO3 (kg/ha),N-NO3 (kg/ha),TCa-vrd,Ca-soil stock (mmol+/kg),TMg-vrd,Mg-soil stock (mmol+/kg),TNa-vrd,Na-soil stock (mmol+/kg),TH-bez,H-saturation (%),TAl-bez,AL-saturation (%),Tverkr.bh,Soil crumbling score,Tverslemp,Soil slaking score,Tmicro.bm,micro.bm,Tbact.bm,bact.bm,Tschim.bm,schim.bm,TAmm-N(dr),Amm-N(dr),TVrd-N(dr),Vrd-N(dr),TPw,Pw,T0-2 P,0-2 P,T2-16 P,2-16 P,T16-50 P,16-50 P,T50-105 P,50-105 P,T105-150 P,105-150 P,T150-210 P,150-210 P,T210-300 P,210-300 P,T300-420 P,300-420 P,T420-600 P,420-600 P,T600-2000 P,600-2000 P,TM50  P,M50  P,TD10/60  P,D10/60  P,TSe,Se,TM50_NIR,M50μm (medium value of the sand fraction) ,TCa-bez,Ca-saturation (%),TMg-bez,Mg-saturation (%),TK-bez,K-saturation (%),TNa-bez,Na-saturation (%),TN-tot-opl,N-tot-opl,TN-org-opl,N-org-opl,Tschim./bact,schim./bact,TpH-CaCl2,pH-CaCl2,T0-2,0-2,T2-16,2-16,T16-50,16-50,T50-63,50-63,T63-125,63-125,T125-180,125-180,T180-250,180-250,T250-355,250-355,T355-500,355-500,T500-1000,500-1000,T1000-2000,1000-2000,TM50,M50,TD60/D10,D60/D10,TCa-besch,Ca-besch,TCa-voorr,Ca-soil stock (kg Ca/ha),TP-verz.graad,P-verz.graad,TC-org,C-organic SOC (%),TC-anorg,C-anorg,T2-50,2-50,T50-2000,50-2000,TCa-besch (mmol/l),Ca-besch (mmol/l),TC/OS,C/OS ratio,TSilt,Silt % (2-50 μm),TZand,Sand % (>50 μm),TSi,Si,TMo,Mo,TFe,Fe,TK_HCl,K_HCl,pF 2.0 (%) Field Capacity,pF 4.2 (%) Wilting Point,Density g/cm3
HIGHWOLD,8696497,Eurofins Agro Testing UK,0,Eurofins Agro Testing UK,,,,5210927,776844,BEM,HIGHWOLD 16912,BODEM,Loess,08102020,12112020,0,15,0,,1.2,,,,,,1390,,13,,35,,,,55,,,,,,,,,,2.4,,,,345,,11,,15,,,,,,,,,,,,,,,,,,,,5,,1,,3.6,,6,,89,,82,,,,45,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,,8.3,,0.8,<,0.1,<,0.1,,9.5,,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,,69,,9.3,,2.7,,0.9,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2195,,,,1.8,,,,,,,,,,0.5,,29,,60,,,,,,,,,32.8,8.7,1.20
HIGHWYOUNG,8696497,Eurofins Agro Testing UK,0,Eurofins Agro Testing UK,,,,5212262,777133,BEM,HIGHWYOUNG 16926,BODEM,Loess,08102020,29102020,0,15,0,,1,,,,,,780,,12,,25,,,,82,,,,,,,,,,4.2,,,,250,,10,,14,,,,,,,,,,,,,,,,,,,,6.1,,0.8,,1.8,,7,,89,,98,,,,11,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,7.9,,0.5,<,0.1,<,0.1,,9.2,,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146,,84,,8.9,,4.7,,0.6,,,,,,,,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2850,,,,0.9,,,,,,,,,,0.5,,39,,51,,,,,,,,,32,7.3,1.26
HILLTOPBRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLTOPGAL,8696497,Eurofins Agro Testing UK,0,Eurofins Agro Testing UK,,,,5211133,776878,BEM,HILLTOPGAL 16957,BODEM,Loess,08102020,29102020,0,15,0,,2.2,,,,,,2190,,9,,75,,,,180,,,,,,,,,,3.6,,,,315,,9,,13,,,,,,,,,,,,,,,,,,,,6,,0.2,,4.1,,22,,222,,100,,,,60,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196,,28.7,,1.7,<,0.1,<,0.1,,6.5,,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,,85,,13,,1.6,,0.8,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6670,,,,2.1,,,,,,,,,,0.51,,38,,36,,,,,,,,,39.1,18,1.18
HLANDPLUMS,8696497,Eurofins Agro Testing UK,0,Eurofins Agro Testing UK,,,,5211127,776676,BEM,Hlandplums 16463,BODEM,Loess,08102020,12112020,0,15,0,,1.6,,,,,,2180,,9,,70,,,,175,,,,,,,,,,4.9,,,,205,,4,,8,,,,,,,,,,,,,,,,,,,,6.9,,1.1,,4.3,,17,,153,,100,,,,62,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,,15.8,,0.8,<,0.1,<,0.1,,7.8,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165,,86,,10,,3.2,,0.5,,,,,,,,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4655,,,,2,,,,,,,,,,0.47,,53,,25,,,,,,,,,39.3,16.3,1.17
HOLLOWBRAM,8696497,Eurofins Agro Testing UK,0,Eurofins Agro Testing UK,,,,5210643,776785,BEM,HOLLOWBRAM 16967,BODEM,Loess,08102020,05112020,0,15,0,,2,,,,,,2590,,12,,70,,,,259,,,,,,,,,,3.4,,,,255,,2,,6,,,,,,,,,,,,,,,,,,,,5,,1.2,,5.1,,29,,202,,89,,,,58,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172,,19.7,,1.7,<,0.1,<,0.1,,4.6,,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,,77,,9.8,,1.7,,0.8,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5350,,,,3.1,,,,,,,,,,0.61,,55,,10,,,,,,,,,43.1,23,1.15
HOLLOWCOX,8696497,Eurofins Agro Testing UK,0,Eurofins Agro Testing UK,,,,5210643,776786,BEM,HOLLOWCOX 16968,BODEM,Loess,08102020,05112020,0,15,0,,2,,,,,,3140,,12,,80,,,,164,,,,,,,,,,4.1,,,,325,,4,,8,,,,,,,,,,,,,,,,,,,,6.5,,1.1,,6.7,,19,,181,,99,,,,73,,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,,13.2,,1.4,<,0.1,<,0.1,,7.6,,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,,89,,7.3,,2.3,,0.8,,,,,,,,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5325,,,,3.6,,,,,,,,,,0.54,,45,,28,,,,,,,,,41.7,20.7,1.10
HOLLOWGAL2,8696497,Eurofins Agro Testing UK,0,Eurofins Agro Testing UK,,,,5210643,776788,BEM,HOLLOWGAL2 16970,BODEM,Loess,08102020,05112020,0,15,0,,2.3,,,,,,3470,,9,,115,,,,265,,,,,,,,,,2.8,,,<,150,,1,,5,,,,,,,,,,,,,,,,,,,,6.7,,0.6,,6.4,,20,,227,,100,,,,46,,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214,,16.7,,2.5,<,0.1,<,0.1,,7.4,,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,,90,,7.4,,1.2,,1.1,,,,,,,,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6835,,,,3.2,,,,,,,,,,0.5,,53,,20,,,,,,,,,42,20.7,1.11
HOLLOWGALA,8696497,Eurofins Agro Testing UK,0,Eurofins Agro Testing UK,,,,5210643,776787,BEM,HOLLOWGALA 16969,BODEM,Loess,08102020,05112020,0,15,0,,1.8,,,,,,2540,,14,,65,,,,236,,,,,,,,,,5.6,,,,325,,4,,8,,,,,,,,,,,,,,,,,,,,4.8,,1.2,,6.3,,14,,166,,88,,,,61,,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145,,15.9,,0.5,<,0.1,,0.8,,8.2,,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,,75,,9.6,,3.4,,0.3,,,,,,,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4145,,,,3.7,,,,,,,,,,0.59,,31,,48,,,,,,,,,38.8,16.9,1.11
HOLLWYOUNG,8696497,Eurofins Agro Testing UK,0,Eurofins Agro Testing UK,,,,5210643,776789,BEM,HOLLOWYOUNG 16971,BODEM,Loess,08102020,05112020,0,15,0,,1.9,,,,,,2920,,14,,70,,,,224,,,,,,,,,,4,,,,500,,10,,14,,,,,,,,,,,,,,,,,,,,6.3,,0.4,,6.7,,13,,176,,100,,,,53,,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174,,12.1,,0.7,<,0.1,<,0.1,,8.6,,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149,,90,,6.9,,2.3,,0.4,,,,,,,,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5260,,,,4.1,,,,,,,,,,0.61,,29,,51,,,,,,,,,38.8,16.8,1.10
