OrchardID,NrKlant,NmKlant,NrKlantGenby,MonstGenBij,Adres2,Adres3,Adres4,NrOrder,NrOndz,Subcategorie,Sample description,Material,OmTypeMonster,DtMonster,DtVerslag,BemDiepteLg,BemDiepteHg,NrMonsterRm,TVocht,Moisture,TDroge stof,Droge stof,Tleeg3,leeg3,TN-Tot,Total nitrogen stock (mg N/kg),TCN,C/N ratio,TN-Levering,N-supplying capacity (kg N/ha),TC-totaal,C-totaal,TP-totaal,Total P-stock (mg P2O5/100g),TP-PAE,P-PAE,TAdviesPw,AdviesPw,TP-AL,P-AL,TK,K,TK-vrd,K-soil stock (mmol+/kg),TK-getal,K-getal,TS-totaal,Total sulphur stock (mg S/kg),TSLV,S-supplying capacity (kg S/ha),TSaanv,Saanv,TMg,Mg,TK/Mg,K/Mg,TNa,Na,TB,B,TCu-PAE,Cu-PAE,TMn,Mn,TCo-PAE,Co-PAE,TZn-PAE,Zn-PAE,TpH_NIR,pH_NIR,TpH,pH,TKZK,Carbonate lime (%),TOS,Organic matter (%),TLutum,Clay % (<2 μm),TCEC,Clay-humus (CEC)CEC (mmol+/kg),TCEC-Bez.,CEC-saturation (%),TS-PAE,S-PAE,TMicr.activiteit,Microbial activity (mg N/kg),TC/S,C/S ratio,TEc,Ec,TCl,Cl,TAl-ox,Al-ox,TFe-ox,Fe-ox,TP-ox,P-ox,TCadmium,Cadmium,TChroom,Chroom,TKoper,Koper,TKwik,Kwik,TNikkel,Nikkel,TLood,Lood,TZink,Zink,TArseen,Arseen,TN-NO3(dr),N-NO3(dr),TN-NO3 (kg/ha),N-NO3 (kg/ha),TCa-vrd,Ca-soil stock (mmol+/kg),TMg-vrd,Mg-soil stock (mmol+/kg),TNa-vrd,Na-soil stock (mmol+/kg),TH-bez,H-saturation (%),TAl-bez,AL-saturation (%),Tverkr.bh,Soil crumbling score,Tverslemp,Soil slaking score,Tmicro.bm,micro.bm,Tbact.bm,bact.bm,Tschim.bm,schim.bm,TAmm-N(dr),Amm-N(dr),TVrd-N(dr),Vrd-N(dr),TPw,Pw,T0-2 P,0-2 P,T2-16 P,2-16 P,T16-50 P,16-50 P,T50-105 P,50-105 P,T105-150 P,105-150 P,T150-210 P,150-210 P,T210-300 P,210-300 P,T300-420 P,300-420 P,T420-600 P,420-600 P,T600-2000 P,600-2000 P,TM50  P,M50  P,TD10/60  P,D10/60  P,TSe,Se,TM50_NIR,M50μm (medium value of the sand fraction) ,TCa-bez,Ca-saturation (%),TMg-bez,Mg-saturation (%),TK-bez,K-saturation (%),TNa-bez,Na-saturation (%),TN-tot-opl,N-tot-opl,TN-org-opl,N-org-opl,Tschim./bact,schim./bact,TpH-CaCl2,pH-CaCl2,T0-2,0-2,T2-16,2-16,T16-50,16-50,T50-63,50-63,T63-125,63-125,T125-180,125-180,T180-250,180-250,T250-355,250-355,T355-500,355-500,T500-1000,500-1000,T1000-2000,1000-2000,TM50,M50,TD60/D10,D60/D10,TCa-besch,Ca-besch,TCa-voorr,Ca-soil stock (kg Ca/ha),TP-verz.graad,P-verz.graad,TC-org,C-organic SOC (%),TC-anorg,C-anorg,T2-50,2-50,T50-2000,50-2000,TCa-besch (mmol/l),Ca-besch (mmol/l),TC/OS,C/OS ratio,TSilt,Silt % (2-50 μm),TZand,Sand % (>50 μm),TSi,Si,TMo,Mo,TFe,Fe,TK_HCl,K_HCl,pF 2.0 (%) Field Capacity,pF 4.2 (%) Wilting Point,Density g/cm3
HOME,8696497,Eurofins Agro Testing UK,0,Eurofins Agro Testing UK,,,,5223492,778136,BEM,HOME 18393,BODEM,Loess,08102020,12112020,0,25,0,,2.3,,,,,,2270,,12,,110,,,,14,,,,,,,,,,4,,,,360,,13,,17,,,,,,,,,,,,,,,,,,,,7,,2.2,,4.7,,18,,182,,100,,,,104,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208,,7.4,,2.7,<,0.1,<,0.1,,7.7,,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,,92,,4.1,,2.2,,1.5,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9770,,,,2.8,,,,,,,,,,0.6,,26,,49,,,,,,,,,37.5,16.4,1.16
HOPGARDEN,8696497,Eurofins Agro Testing UK,0,Eurofins Agro Testing UK,,,,5210927,776832,BEM,HOPGARDEN 16897,BODEM,Loess,08102020,12112020,0,15,0,,1,,,,,,1810,,11,,55,,,,224,,,,,,,,,,5,,,,335,,10,,14,,,,,,,,,,,,,,,,,,,,6,,0.6,,3.7,,10,,108,,89,,,,53,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,,14.6,,0.7,<,0.1,<,0.1,,8.8,,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,,70,,14,,4.6,,0.6,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2725,,,,1.9,,,,,,,,,,0.51,,35,,51,,,,,,,,,34.9,11.2,1.19
HOW15ACRCH,8696497,Eurofins Agro Testing UK,0,Eurofins Agro Testing UK,,,,5210926,776807,BEM,HOW15ACRCH 16978,BODEM,Loess,08102020,28102020,0,15,0,,1.6,,,,,,1550,,8,,55,,,,190,,,,,,,,,,5.7,,,<,150,,3,,7,,,,,,,,,,,,,,,,,,,,6.5,,0.7,,2.7,,14,,130,,93,,,,29,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,,10.1,,0.6,<,0.1,<,0.1,,8.1,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,80,,7.8,,4.4,,0.5,,,,,,,,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3845,,,,1.2,,,,,,,,,,0.44,,68,,15,,,,,,,,,38.2,12.4,1.23
HOW15ACRGA,8696497,Eurofins Agro Testing UK,0,Eurofins Agro Testing UK,,,,5210933,776856,BEM,HOW15ACRGA 16979,BODEM,Loess,08102020,29102020,0,15,0,,2,,,,,,3140,,10,,95,,,,303,,,,,,,,,,9.5,,,,215,,1,,5,,,,,,,,,,,,,,,,,,,,6.8,<,0.2,,6,,20,,219,,100,,,,65,,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187,,30.4,,1.7,<,0.1,<,0.1,,7.4,,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156,,81,,14,,4.3,,0.8,,,,,,,,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5960,,,,3.2,,,,,,,,,,0.53,,47,,27,,,,,,,,,41.3,20.1,1.12
HOW7ACROLD,8696497,Eurofins Agro Testing UK,0,Eurofins Agro Testing UK,,,,5210923,776801,BEM,HOW7ACROLD 16980,BODEM,Loess,08102020,28102020,0,15,0,,2.1,,,,,,2790,,10,,90,,,,243,,,,,,,,,,5.2,,,,390,,9,,13,,,,,,,,,,,,,,,,,,,,7.1,,3.1,,6,,19,,200,,100,,,,66,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184,,23,,1.2,<,0.1,<,0.1,,7.6,,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175,,86,,12,,2.6,,0.6,,,,,,,,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5760,,,,2.9,,,,,,,,,,0.48,,48,,24,,,,,,,,,41.3,19.9,1.12
HOW7ACRYNG,8696497,Eurofins Agro Testing UK,0,Eurofins Agro Testing UK,,,,5210923,776802,BEM,HOW7ACRYNG 16981,BODEM,Loess,08102020,28102020,0,15,0,,2,,,,,,2380,,9,,80,,,,193,,,,,,,,,,3.7,,,,420,,13,,17,,,,,,,,,,,,,,,,,,,,7.4,,10.5,,4.7,,18,,202,,100,,,,81,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194,,14.2,<,0.4,<,0.1,<,0.1,,7.7,,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152,,91,,7,,1.8,<,0.1,,,,,,,,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6420,,,,2.1,,,,,,,,,,0.45,,36,,31,,,,,,,,,39.5,18.1,1.16
HOWBRIDGEO,8696497,Eurofins Agro Testing UK,0,Eurofins Agro Testing UK,,,,5210933,776859,BEM,HOWBRIDGEO 16985,BODEM,Loess,08102020,29102020,0,15,0,,1.4,,,,,,1850,,11,,55,,,,227,,,,,,,,,,6.3,,,,285,,7,,11,,,,,,,,,,,,,,,,,,,,5.9,<,0.2,,3.8,,15,,121,,94,,,,55,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,,13.6,,0.8,<,0.1,<,0.1,,8,,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145,,77,,11,,5.2,,0.7,,,,,,,,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3330,,,,2,,,,,,,,,,0.53,,62,,19,,,,,,,,,39,14.5,1.19
HOWBRIDGEY,8696497,Eurofins Agro Testing UK,0,Eurofins Agro Testing UK,,,,5210933,776860,BEM,HOWBRIDGEY 16986,BODEM,Loess,08102020,29102020,0,15,0,,1.8,,,,,,3740,,11,,100,,,,200,,,,,,,,,,8,,,,660,,17,,21,,,,,,,,,,,,,,,,,,,,7.2,,1.5,,7.4,,19,,216,,100,,,,80,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167,,37.9,,1.9,<,0.1,<,0.1,,7.8,,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163,,77,,18,,3.7,,0.9,,,,,,,,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5430,,,,4,,,,,,,,,,0.54,,39,,33,,,,,,,,,42,21.5,1.08
HOWLETOAST,8696497,Eurofins Agro Testing UK,0,Eurofins Agro Testing UK,,,,5213844,777300,BEM,HOWLETOAST 17599,BODEM,Loess,08102020,06112020,0,25,0,,1.6,,,,,,1980,,10,,110,,,,269,,,,,,,,,,6.9,,,,345,,17,,21,,,,,,,,,,,,,,,,,,,,5.8,,0.7,,3.9,,19,,155,,97,,,,54,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,,11.8,,0.7,<,0.1,<,0.1,,7.1,,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,,84,,7.6,,4.5,,0.5,,,,,,,,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7730,,,,2.1,,,,,,,,,,0.54,,53,,23,,,,,,,,,39.4,16.7,1.19
HOWLETSHOP,8696497,Eurofins Agro Testing UK,0,Eurofins Agro Testing UK,,,,5213844,777301,BEM,HOWLETSHOP 17600,BODEM,Loess,08102020,06112020,0,25,0,,1.4,,,,,,1790,,11,,90,,,,207,,,,,,,,,,5.1,,,,275,,11,,15,,,,,,,,,,,,,,,,,,,,5.2,,0.9,,4,,15,,119,,88,,,,53,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,13,,0.6,<,0.1,<,0.1,,7.9,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,,72,,11,,4.3,,0.5,,,,,,,,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5100,,,,2,,,,,,,,,,0.5,,61,,19,,,,,,,,,39.2,14.8,1.18
HOWLINEPCE,8696497,Eurofins Agro Testing UK,0,Eurofins Agro Testing UK,,,,5210674,776794,BEM,HOWLINEPCF 16988,BODEM,Loess,08102020,02112020,0,15,0,,1.4,,,,,,1900,,10,,60,,,,223,,,,,,,,,,4.4,,,,275,,7,,11,,,,,,,,,,,,,,,,,,,,6.6,<,0.2,,3.7,,11,,115,,97,,,,26,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,,9.7,,0.6,<,0.1,<,0.1,,8.7,,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,,84,,8.4,,3.8,,0.5,,,,,,,,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3480,,,,1.9,,,,,,,,,,0.51,,43,,42,,,,,,,,,36.1,12,1.19
HOWOLDBLCK,8696497,Eurofins Agro Testing UK,0,Eurofins Agro Testing UK,,,,5210674,776795,BEM,HOWOLDBLCK 16992,BODEM,Loess,08102020,02112020,0,15,0,,1.5,,,,,,1930,,12,,55,,,,123,,,,,,,,,,5,,,,415,,13,,17,,,,,,,,,,,,,,,,,,,,6.6,,1.2,,4.5,,12,,124,,96,,,,39,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,13.1,,0.9,<,0.1,<,0.1,,8.6,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,,80,,11,,4,,0.7,,,,,,,,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3475,,,,2.3,,,,,,,,,,0.51,,56,,26,,,,,,,,,38.6,14,1.17
HOWPACKHSE,8696497,Eurofins Agro Testing UK,0,Eurofins Agro Testing UK,,,,5210674,776796,BEM,HOWPACKHSE 16993,BODEM,Loess,08102020,02112020,0,15,0,,1.6,,,,,,2150,,12,,60,,,,186,,,,,,,,,,2.9,,,,345,,8,,12,,,,,,,,,,,,,,,,,,,,6.8,,26.4,,5.5,,14,,150,,100,,,,50,,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157,,9.5,,0.6,<,0.1,<,0.1,,8.4,,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,91,,6.3,,1.9,,0.4,,,,,,,,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4675,,,,2.6,,,,,,,,,,0.47,,22,,32,,,,,,,,,39.3,18.5,1.14
HOWROUGH,8696497,Eurofins Agro Testing UK,0,Eurofins Agro Testing UK,,,,5210933,776866,BEM,HOWROUGH 16996,BODEM,Loess,08102020,29102020,0,15,0,,2.2,,,,,,2470,,11,,75,,,,118,,,,,,,,,,2.2,,,,450,,12,,16,,,,,,,,,,,,,,,,,,,,7,,2.7,,5.2,,21,,221,,100,,,,102,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,,14.1,,1.2,<,0.1,<,0.1,,7.2,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,,92,,6.4,,1,,0.5,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7020,,,,2.8,,,,,,,,,,0.54,,33,,38,,,,,,,,,39.9,19.3,1.14
HOWTANKCAM,8696497,Eurofins Agro Testing UK,0,Eurofins Agro Testing UK,,,,5210933,776865,BEM,HOWTANKCAM 16994,BODEM,Loess,08102020,29102020,0,15,0,,1.3,,,,,,1630,,11,,50,,,,171,,,,,,,,,,5,,,,265,,7,,11,,,,,,,,,,,,,,,,,,,,5.9,<,0.2,,3.7,,12,,115,,95,,,,56,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,,10.5,,0.5,<,0.1,<,0.1,,8.5,,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,,81,,9.1,,4.3,,0.4,,,,,,,,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3335,,,,1.9,,,,,,,,,,0.51,,57,,27,,,,,,,,,37.8,12.8,1.19
HOWTANKPEA,8696497,Eurofins Agro Testing UK,0,Eurofins Agro Testing UK,,,,5210674,776797,BEM,HOWTANKPEA 16995,BODEM,Loess,08102020,02112020,0,15,0,,1.7,,,,,,2260,,10,,70,,,,164,,,,,,,,,,5.2,,,,345,,9,,13,,,,,,,,,,,,,,,,,,,,6.2,,0.6,,4.7,,14,,140,,93,,,,64,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,,14.4,,0.9,<,0.1,<,0.1,,8.3,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136,,79,,10,,3.7,,0.6,,,,,,,,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3835,,,,2.2,,,,,,,,,,0.47,,54,,27,,,,,,,,,39,15.2,1.16
HOWTONFORD,8696497,Eurofins Agro Testing UK,0,Eurofins Agro Testing UK,,,,5210933,776867,BEM,HOWTONFORD 16997,BODEM,Loess,08102020,29102020,0,15,0,,1.1,,,,,,1660,,12,,45,,,,208,,,,,,,,,,3.5,,,,245,,6,,10,,,,,,,,,,,,,,,,,,,,5.4,,0.4,,3.6,,10,,91,,91,,,,48,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,,10.7,,0.7,<,0.1,<,0.1,,8.8,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,,74,,12,,3.8,,0.8,,,,,,,,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2410,,,,1.9,,,,,,,,,,0.53,,45,,41,,,,,,,,,36,11.4,1.20
HOWYNGBLCK,8696497,Eurofins Agro Testing UK,0,Eurofins Agro Testing UK,,,,5210674,776798,BEM,HOWYNGBLCK 17009,BODEM,Loess,08102020,02112020,0,15,0,,2,,,,,,3400,,10,,105,,,,191,,,,,,,,,,6,,,,440,,9,,13,,,,,,,,,,,,,,,,,,,,5.7,,0.3,,6.7,,19,,169,,100,,,,86,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,,30.3,,1.6,<,0.1,<,0.1,,7.3,,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,,78,,18,,3.6,,0.9,,,,,,,,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4335,,,,3.5,,,,,,,,,,0.52,,46,,28,,,,,,,,,41.7,20.6,1.10
HUNTS,8696497,Eurofins Agro Testing UK,0,Eurofins Agro Testing UK,,,,5211127,776677,BEM,Hunts 16464,BODEM,Loess,08102020,12112020,0,15,0,,1.8,,,,,,2690,,10,,80,,,,155,,,,,,,,,,4.8,,,,395,,10,,14,,,,,,,,,,,,,,,,,,,,5.8,,0.6,,5.1,,18,,162,,100,,,,80,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,,20.8,,1.1,<,0.1,<,0.1,,7.4,,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,,83,,13,,3,,0.7,,,,,,,,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4660,,,,2.6,,,,,,,,,,0.51,,46,,30,,,,,,,,,39.9,17.9,1.15
ILEDEN,8696497,Eurofins Agro Testing UK,0,Eurofins Agro Testing UK,,,,5211129,776697,BEM,ILEDEN 16465,BODEM,Loess,08102020,12112020,0,15,0,,1.5,,,,,,2040,,9,,65,,,,151,,,,,,,,,,4.1,,,,195,,4,,8,,,,,,,,,,,,,,,,,,,,5.5,,0.5,,3.8,,14,,129,,100,,,,42,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,,13.6,,0.5,<,0.1,<,0.1,,8.1,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147,,85,,11,,3.2,,0.4,,,,,,,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3935,,,,1.8,,,,,,,,,,0.47,,47,,35,,,,,,,,,37.4,13.8,1.19
ILEDENGRSS,8696497,Eurofins Agro Testing UK,0,Eurofins Agro Testing UK,,,,5211131,776704,BEM,ILEDENGRSS 16466,BODEM,Loess,08102020,12112020,0,15,0,,2.3,,,,,,3040,,10,,90,,,,196,,,,,,,,,,3.8,,,,400,,9,,13,,,,,,,,,,,,,,,,,,,,7.3,,0.6,,5.2,,24,,207,,100,,,,70,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187,,22.7,,1.7,<,0.1,<,0.1,,6.7,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,,86,,11,,1.8,,0.8,,,,,,,,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6160,,,,2.9,,,,,,,,,,0.56,,45,,25,,,,,,,,,41.4,20.9,1.14
JORDANS,8696497,Eurofins Agro Testing UK,0,Eurofins Agro Testing UK,,,,5211128,776685,BEM,JORDANS 16467,BODEM,Loess,08102020,12112020,0,15,0,,1.3,,,,,,1520,,11,,45,,,,241,,,,,,,,,,4.7,,,,215,,5,,9,,,,,,,,,,,,,,,,,,,,6,,1.1,,3.4,,14,,128,,100,,,,50,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,,15.7,,0.6,<,0.1,<,0.1,,8.1,,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,,84,,12,,3.7,,0.5,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3875,,,,1.6,,,,,,,,,,0.47,,65,,17,,,,,,,,,38.6,13.4,1.20
KISSABEL,8696497,Eurofins Agro Testing UK,0,Eurofins Agro Testing UK,,,,5223501,778164,BEM,KISSABEL 18725,BODEM,Loess,08102020,12112020,0,25,0,,1.1,,,,,,1420,,11,,70,,,,290,,,,,,,,,,6.4,,,,255,,13,,17,,,,,,,,,,,,,,,,,,,,5.9,,0.8,,3.3,,13,,111,,100,,,,46,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,,10.7,,0.4,<,0.1,<,0.1,,8.3,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269,,85,,9.6,,5.8,,0.4,,,,,,,,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5685,,,,1.5,,,,,,,,,,0.45,,34,,49,,,,,,,,,35.1,12.1,1.21
LHAMBRAM1,8696497,Eurofins Agro Testing UK,0,Eurofins Agro Testing UK,,,,5210933,776862,BEM,LHAMBRAM1 16989,BODEM,Loess,08102020,29102020,0,15,0,,1.3,,,,,,1930,,11,,55,,,,134,,,,,,,,,,3.8,,,,305,,8,,12,,,,,,,,,,,,,,,,,,,,5,,0.8,,4.1,,12,,100,,78,,,,47,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,,9.7,,0.7,<,0.1,<,0.1,,8.5,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,,64,,9.7,,3.8,,0.7,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2270,,,,2.1,,,,,,,,,,0.51,,43,,40,,,,,,,,,36.9,13.2,1.18
LHAMBRAM2,8696497,Eurofins Agro Testing UK,0,Eurofins Agro Testing UK,,,,5210933,776863,BEM,LHAMBRAM2 16990,BODEM,Loess,08102020,29102020,0,15,0,,1.3,,,,,,2350,,10,,70,,,,186,,,,,,,,,,4.1,,,,315,,8,,12,,,,,,,,,,,,,,,,,,,,5.2,,0.6,,4.7,,14,,129,,88,,,,56,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,,12.1,,0.9,<,0.1,<,0.1,,8.1,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136,,75,,9.4,,3.2,,0.7,,,,,,,,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3385,,,,2.3,,,,,,,,,,0.49,,55,,26,,,,,,,,,39.1,15.2,1.16
LHAMGALA,8696497,Eurofins Agro Testing UK,0,Eurofins Agro Testing UK,,,,5210933,776864,BEM,LHAMGALA 16991,BODEM,Loess,08102020,29102020,0,15,0,,1.4,,,,,,2170,,9,,75,,,,225,,,,,,,,,,6.6,,,,295,,8,,12,,,,,,,,,,,,,,,,,,,,6.8,,0.7,,4.6,,14,,152,,100,,,,60,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,,16.4,,0.7,<,0.1,<,0.1,,8.3,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137,,84,,11,,4.3,,0.5,,,,,,,,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4480,,,,2.1,,,,,,,,,,0.46,,59,,22,,,,,,,,,39.3,15.1,1.16
LODGEBRAM,8696497,Eurofins Agro Testing UK,0,Eurofins Agro Testing UK,,,,5215234,777430,BEM,LODGEBRAM 17419,BODEM,Loess,08102020,03112020,0,25,0,,1.3,,,,,,1530,,10,,85,,,,170,,,,,,,,,,4.3,,,,285,,15,,19,,,,,,,,,,,,,,,,,,,,6.4,,1,,3.3,,14,,122,,93,,,,36,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,10.6,,0.6,<,0.1,<,0.1,,8.2,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,80,,8.7,,3.5,,0.5,,,,,,,,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5930,,,,1.6,,,,,,,,,,0.48,,52,,30,,,,,,,,,37.4,13.2,1.21
LONGSHOT1,8696497,Eurofins Agro Testing UK,0,Eurofins Agro Testing UK,,,,5210927,776838,BEM,LONGSHOT1 16903,BODEM,Loess,08102020,12112020,0,15,0,,1.1,,,,,,2020,,11,,60,,,,155,,,,,,,,,,6.5,,,,565,,20,,24,,,,,,,,,,,,,,,,,,,,6,,0.5,,3.7,,13,,105,,98,,,,98,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,,22.8,,1.1,<,0.1,<,0.1,,8.3,,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196,,69,,22,,6.2,,1,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2585,,,,2.2,,,,,,,,,,0.59,,9,,74,,,,,,,,,29.8,8.7,1.19
LONGSHOT2,8696497,Eurofins Agro Testing UK,0,Eurofins Agro Testing UK,,,,5210927,776839,BEM,LONGSHOT2 16904,BODEM,Loess,08102020,12112020,0,15,0,,1.3,,,,,,1580,,11,,50,,,,87,,,,,,,,,,2.5,,,,275,,8,,12,,,,,,,,,,,,,,,,,,,,5.1,,0.7,,3.2,,11,,101,,69,,,,61,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,,11.6,,0.4,<,0.1,<,0.1,,8.6,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137,,55,,11,,2.5,,0.4,,,,,,,,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2040,,,,1.7,,,,,,,,,,0.53,,24,,61,,,,,,,,,32.7,10.1,1.21
LONGSHOT3,8696497,Eurofins Agro Testing UK,0,Eurofins Agro Testing UK,,,,5210927,776840,BEM,LONGSHOT3 16905,BODEM,Loess,08102020,12112020,0,15,0,,0.7,,,,,,810,,11,,25,,,,73,,,,,,,,,,3.8,,,,160,,5,,9,,,,,,,,,,,,,,,,,,,,4.7,<,0.2,,1.4,,7,,67,,72,,,,42,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,11.8,,0.3,,0.3,,1.6,,9.2,,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,,48,,18,,5.7,,0.4,,,,,,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1230,,,,0.9,,,,,,,,,,0.64,,27,,65,,,,,,,,,28.8,6,1.28
